Team,Player Name,Position,Predicted Status,Confidence,Multiplier
ARS,David Raya,Unknown,starter,95%,1.00
ARS,Jurrien Timber,Unknown,starter,90%,1.00
ARS,Riccardo Calafiori,Unknown,starter,70%,0.90
ARS,Gabriel Magalhaes,Unknown,starter,90%,1.00
ARS,William Saliba,Unknown,starter,90%,1.00
ARS,Martin Zubimendi,Unknown,starter,90%,1.00
ARS,Martin Odegaard,Unknown,rotation,60%,0.75
ARS,Declan Rice,Unknown,starter,90%,1.00
ARS,Noni Madueke,Unknown,starter,70%,0.90
ARS,Gabriel Martinelli,Unknown,rotation,50%,0.75
ARS,Viktor Gyokeres,Unknown,starter,90%,1.00
ARS,Ben White,Unknown,rotation,20%,0.35
ARS,Myles Lewis-Skelly,Unknown,rotation,30%,0.50
ARS,Cristhian Mosquera,Unknown,rotation,10%,0.35
ARS,Mikel Merino,Unknown,rotation,60%,0.75
ARS,Ethan Nwaneri,Unknown,rotation,40%,0.50
ARS,Leandro Trossard,Unknown,rotation,20%,0.35
ARS,Eberechi Eze,Unknown,rotation,30%,0.50
AVL,Emiliano Martinez,Unknown,starter,70%,0.90
AVL,Matty Cash,Unknown,starter,90%,1.00
AVL,Lucas Digne,Unknown,rotation,60%,0.75
AVL,Ezri Konsa,Unknown,starter,90%,1.00
AVL,Tyrone Mings,Unknown,starter,70%,0.90
AVL,Boubacar Kamara,Unknown,rotation,60%,0.75
AVL,Amadou Onana,Unknown,starter,90%,1.00
AVL,Youri Tielemans,Unknown,starter,90%,1.00
AVL,Morgan Rogers,Unknown,starter,90%,1.00
AVL,John McGinn,Unknown,starter,90%,1.00
AVL,Ollie Watkins,Unknown,starter,90%,1.00
AVL,Marco Bizot,Unknown,rotation,30%,0.50
AVL,Ian Maatsen,Unknown,rotation,40%,0.50
AVL,Pau Torres,Unknown,rotation,40%,0.50
AVL,Lamare Bogarde,Unknown,rotation,10%,0.35
AVL,Emiliano Buendia,Unknown,rotation,10%,0.35
AVL,Donyell Malen,Unknown,rotation,60%,0.75
AVL,Evann Guessand,Unknown,rotation,20%,0.35
BOU,Djordje Petrovic,Unknown,starter,95%,1.00
BOU,Adam Smith,Unknown,starter,90%,1.00
BOU,Adrien Truffert,Unknown,starter,90%,1.00
BOU,Bafode Diakite,Unknown,starter,90%,1.00
BOU,Marcos Senesi,Unknown,starter,90%,1.00
BOU,Tyler Adams,Unknown,starter,90%,1.00
BOU,Alex Scott,Unknown,rotation,60%,0.75
BOU,Marcus Tavernier,Unknown,starter,90%,1.00
BOU,David Brooks,Unknown,starter,80%,0.90
BOU,Antoine Semenyo,Unknown,starter,90%,1.00
BOU,Evanilson,Unknown,starter,90%,1.00
BOU,Julio Soler,Unknown,rotation,20%,0.35
BOU,James Hill,Unknown,rotation,20%,0.35
BOU,Ryan Christie,Unknown,rotation,50%,0.75
BOU,Justin Kluivert,Unknown,rotation,50%,0.75
BRE,Caoimhin Kelleher,Unknown,starter,95%,1.00
BRE,Michael Kayode,Unknown,starter,90%,1.00
BRE,Keane Lewis-Potter,Unknown,starter,90%,1.00
BRE,Nathan Collins,Unknown,starter,90%,1.00
BRE,Sepp van den Berg,Unknown,starter,90%,1.00
BRE,Jordan Henderson,Unknown,starter,80%,0.90
BRE,Yehor Yarmoliuk,Unknown,starter,80%,0.90
BRE,Mikkel Damsgaard,Unknown,starter,80%,0.90
BRE,Dango Ouattara,Unknown,starter,90%,1.00
