Team,Player Name,Position,Predicted Status,Confidence,Multiplier
ARS,David Raya,Unknown,starter,95%,1.00
ARS,Jurrien Timber,Unknown,starter,80%,0.90
ARS,Riccardo Calafiori,Unknown,starter,70%,0.90
ARS,Gabriel Magalhaes,Unknown,starter,90%,1.00
ARS,Cristhian Mosquera,Unknown,rotation,50%,0.75
ARS,Martin Zubimendi,Unknown,starter,80%,0.90
ARS,Martin Odegaard,Unknown,starter,80%,0.90
ARS,Declan Rice,Unknown,starter,90%,1.00
ARS,Noni Madueke,Unknown,rotation,60%,0.75
ARS,Eberechi Eze,Unknown,rotation,60%,0.75
ARS,Viktor Gyokeres,Unknown,starter,90%,1.00
ARS,Ben White,Unknown,rotation,30%,0.50
ARS,Myles Lewis-Skelly,Unknown,rotation,30%,0.50
ARS,William Saliba,Unknown,rotation,40%,0.50
ARS,Piero Hincapie,Unknown,rotation,20%,0.35
ARS,Christian Norgaard,Unknown,rotation,10%,0.35
ARS,Mikel Merino,Unknown,rotation,40%,0.50
ARS,Bukayo Saka,Unknown,rotation,10%,0.35
ARS,Ethan Nwaneri,Unknown,rotation,20%,0.35
ARS,Leandro Trossard,Unknown,rotation,10%,0.35
AVL,Emiliano Martinez,Unknown,rotation,60%,0.75
AVL,Matty Cash,Unknown,starter,90%,1.00
AVL,Lucas Digne,Unknown,rotation,60%,0.75
AVL,Ezri Konsa,Unknown,starter,90%,1.00
AVL,Tyrone Mings,Unknown,starter,70%,0.90
AVL,Boubacar Kamara,Unknown,rotation,50%,0.75
AVL,Youri Tielemans,Unknown,starter,90%,1.00
AVL,Morgan Rogers,Unknown,starter,90%,1.00
AVL,Donyell Malen,Unknown,rotation,40%,0.50
AVL,John McGinn,Unknown,starter,90%,1.00
AVL,Ollie Watkins,Unknown,starter,90%,1.00
AVL,Marco Bizot,Unknown,rotation,40%,0.50
AVL,Ian Maatsen,Unknown,rotation,40%,0.50
AVL,Victor Lindelof,Unknown,rotation,10%,0.35
AVL,Pau Torres,Unknown,rotation,40%,0.50
AVL,Lamare Bogarde,Unknown,rotation,10%,0.35
AVL,Amadou Onana,Unknown,rotation,40%,0.50
AVL,Harvey Elliott,Unknown,rotation,30%,0.50
AVL,Emiliano Buendia,Unknown,rotation,20%,0.35
AVL,Jadon Sancho,Unknown,rotation,40%,0.50
BOU,Djordje Petrovic,Unknown,starter,95%,1.00
BOU,Alex Jimenez,Unknown,rotation,60%,0.75
BOU,Adrien Truffert,Unknown,starter,90%,1.00
BOU,Bafode Diakite,Unknown,starter,90%,1.00
BOU,Marcos Senesi,Unknown,starter,90%,1.00
BOU,Tyler Adams,Unknown,starter,90%,1.00
BOU,Alex Scott,Unknown,rotation,50%,0.75
BOU,Marcus Tavernier,Unknown,starter,80%,0.90
BOU,David Brooks,Unknown,rotation,60%,0.75
BOU,Antoine Semenyo,Unknown,starter,90%,1.00
BOU,Evanilson,Unknown,starter,90%,1.00
BOU,Julian Araujo,Unknown,rotation,40%,0.50
BOU,Julio Soler,Unknown,rotation,10%,0.35
BOU,James Hill,Unknown,rotation,20%,0.35
BOU,Lewis Cook,Unknown,rotation,30%,0.50
BOU,Ryan Christie,Unknown,rotation,40%,0.50
BOU,Justin Kluivert,Unknown,rotation,40%,0.50
